word,pos
!,".
purge"
3,"CD
"
let,VB
"'s",POS
try,VB
this,DT
one,CD
more,JJR
time,NN
",",","
eh,UH
?,".
"
and,CC
once,RB
again,RB
for,IN
good,JJ
measure,"NN
"
yes,RB
!,".
"
man,NN
",",","
you,PRP
need,VBP
some,DT
more,JJR
words,NNS
in,IN
you,"PRP
"
what,WP
a,DT
gentlemanly,JJ
robot,"NN
"
the,DT
quick,JJ
brown,JJ
fox,NN
jumped,VBD
over,IN
the,DT
lazy,JJ
dog,"NN
"
can,MD
you,PRP
construct,VB
a,DT
random,JJ
sentence,NN
from,IN
words,NNS
that,IN
you,PRP
"'ve",VBP
collected,VBN
?,".
"
I,PRP
would,MD
love,VB
to,TO
put,VB
this,DT
guy,NN
in,IN
a,DT
more,RBR
well-trafficked,JJ
channel,NN
",",","
like,IN
VTOW,NNP
just,RB
so,IN
it,PRP
can,MD
collect,VB
more,RBR
words,"NNS
"
ah,RB
",",","
the,DT
real,JJ
reason,NN
it,PRP
"'s",VBZ
not,RB
making,VBG
more,RBR
varied,JJ
sentences,NNS
really,RB
is,VBZ
just,RB
its,PRP$
lack,NN
of,IN
vocabulary,"NN
"
"y'",VB
all,DT
may,MD
have,VB
noticed,VBN
that,IN
I,PRP
"'m",VBP
being,VBG
overly,RB
verbose,"JJ
"
it,PRP
"'s",VBZ
so,RB
I,PRP
can,MD
feed,VB
the,DT
bot,NN
good,JJ
vocabulary,"NN
"
fuck,VB
you,PRP
bot,"VB
"
that,DT
"'s",VBZ
a,DT
little,JJ
better,"JJR
"
or,CC
",",","
alternatively,RB
the,DT
random,JJ
seed,NN
is,VBZ
just,RB
garbage,"NN
"
